timestamp_us;raw_adc;filtered_val;rhythm;class_code
0;513.77;513.77;AFIB;AFIB
2000;510.29;510.28;AFIB;AFIB
4000;513.70;513.68;AFIB;AFIB
6000;507.79;507.76;AFIB;AFIB
8000;506.56;506.53;AFIB;AFIB
10000;511.60;511.57;AFIB;AFIB
12000;508.66;508.61;AFIB;AFIB
14000;509.95;509.89;AFIB;AFIB
16000;513.29;513.23;AFIB;AFIB
18000;514.52;514.45;AFIB;AFIB
20000;509.91;509.83;AFIB;AFIB
22000;511.61;511.53;AFIB;AFIB
24000;513.81;513.72;AFIB;AFIB
26000;509.48;509.38;AFIB;AFIB
28000;513.97;513.86;AFIB;AFIB
30000;510.51;510.39;AFIB;AFIB
32000;511.22;511.09;AFIB;AFIB
34000;509.92;509.78;AFIB;AFIB
36000;510.69;510.55;AFIB;AFIB
38000;513.41;513.26;AFIB;AFIB
40000;512.26;512.10;AFIB;AFIB
42000;516.01;515.85;AFIB;AFIB
44000;508.14;507.97;AFIB;AFIB
46000;510.67;510.49;AFIB;AFIB
48000;507.66;507.47;AFIB;AFIB
50000;512.72;512.52;AFIB;AFIB
52000;509.94;509.74;AFIB;AFIB
54000;511.24;511.03;AFIB;AFIB
56000;513.76;513.54;AFIB;AFIB
58000;511.73;511.50;AFIB;AFIB
60000;511.15;510.91;AFIB;AFIB
62000;512.83;512.59;AFIB;AFIB
64000;514.82;514.57;AFIB;AFIB
66000;512.48;512.22;AFIB;AFIB
68000;513.89;513.63;AFIB;AFIB
70000;509.21;508.93;AFIB;AFIB
72000;512.43;512.15;AFIB;AFIB
74000;510.48;510.19;AFIB;AFIB
76000;509.98;509.69;AFIB;AFIB
78000;513.92;513.61;AFIB;AFIB
80000;516.29;515.98;AFIB;AFIB
82000;513.32;513.00;AFIB;AFIB
84000;514.00;513.67;AFIB;AFIB
86000;510.64;510.30;AFIB;AFIB
88000;510.60;510.25;AFIB;AFIB
90000;513.45;513.10;AFIB;AFIB
92000;513.23;512.87;AFIB;AFIB
94000;512.80;512.43;AFIB;AFIB
96000;509.49;509.11;AFIB;AFIB
98000;516.31;515.92;AFIB;AFIB
100000;509.76;509.37;AFIB;AFIB
102000;509.65;509.25;AFIB;AFIB
104000;514.27;513.87;AFIB;AFIB
106000;512.45;512.04;AFIB;AFIB
108000;507.63;507.21;AFIB;AFIB
110000;515.43;515.00;AFIB;AFIB
112000;513.84;513.40;AFIB;AFIB
114000;512.11;511.66;AFIB;AFIB
116000;514.36;513.91;AFIB;AFIB
118000;515.06;514.60;AFIB;AFIB
120000;514.73;514.26;AFIB;AFIB
122000;512.85;512.37;AFIB;AFIB
124000;512.35;511.87;AFIB;AFIB
126000;516.27;515.78;AFIB;AFIB
128000;516.35;515.85;AFIB;AFIB
130000;513.36;512.85;AFIB;AFIB
132000;512.53;512.01;AFIB;AFIB
134000;510.78;510.26;AFIB;AFIB
136000;515.18;514.65;AFIB;AFIB
138000;511.32;510.78;AFIB;AFIB
140000;509.36;508.81;AFIB;AFIB
142000;514.16;513.61;AFIB;AFIB
144000;515.52;514.96;AFIB;AFIB
146000;511.97;511.40;AFIB;AFIB
148000;512.03;511.46;AFIB;AFIB
150000;510.94;510.35;AFIB;AFIB
152000;516.10;515.51;AFIB;AFIB
154000;514.43;513.83;AFIB;AFIB
156000;515.35;514.74;AFIB;AFIB
158000;518.19;517.58;AFIB;AFIB
160000;508.81;508.18;AFIB;AFIB
162000;511.99;511.36;AFIB;AFIB
164000;510.77;510.14;AFIB;AFIB
166000;513.29;512.64;AFIB;AFIB
168000;512.13;511.48;AFIB;AFIB
170000;510.42;509.76;AFIB;AFIB
172000;515.74;515.08;AFIB;AFIB
174000;512.24;511.56;AFIB;AFIB
176000;512.98;512.29;AFIB;AFIB
178000;512.00;511.31;AFIB;AFIB
180000;513.38;512.68;AFIB;AFIB
182000;515.18;514.47;AFIB;AFIB
184000;511.21;510.50;AFIB;AFIB
186000;510.64;509.92;AFIB;AFIB
188000;513.85;513.13;AFIB;AFIB
190000;508.69;507.96;AFIB;AFIB
192000;513.62;512.88;AFIB;AFIB
194000;512.96;512.21;AFIB;AFIB
196000;509.10;508.35;AFIB;AFIB
198000;512.14;511.37;AFIB;AFIB
200000;514.78;514.01;AFIB;AFIB
202000;509.83;509.05;AFIB;AFIB
204000;513.81;513.02;AFIB;AFIB
206000;508.48;507.69;AFIB;AFIB
208000;514.55;513.75;AFIB;AFIB
210000;511.48;510.67;AFIB;AFIB
212000;510.47;509.65;AFIB;AFIB
214000;512.70;511.88;AFIB;AFIB
216000;512.85;512.02;AFIB;AFIB
218000;513.28;512.45;AFIB;AFIB
