timestamp_us;raw_adc;filtered_val;rhythm;class_code
0;512.56;512.56;NORMAL;N
2000;513.23;513.22;NORMAL;N
4000;512.57;512.56;NORMAL;N
6000;512.87;512.86;NORMAL;N
8000;511.93;511.92;NORMAL;N
10000;512.28;512.26;NORMAL;N
12000;512.91;512.89;NORMAL;N
14000;511.32;511.30;NORMAL;N
16000;512.74;512.72;NORMAL;N
18000;512.01;511.98;NORMAL;N
20000;512.16;512.13;NORMAL;N
22000;510.93;510.90;NORMAL;N
24000;512.47;512.43;NORMAL;N
26000;511.69;511.64;NORMAL;N
28000;513.29;513.25;NORMAL;N
30000;510.56;510.52;NORMAL;N
32000;511.96;511.91;NORMAL;N
34000;512.34;512.28;NORMAL;N
36000;512.90;512.84;NORMAL;N
38000;512.04;511.98;NORMAL;N
40000;511.93;511.87;NORMAL;N
42000;512.21;512.15;NORMAL;N
44000;512.29;512.22;NORMAL;N
46000;512.64;512.57;NORMAL;N
48000;512.07;511.99;NORMAL;N
50000;511.22;511.14;NORMAL;N
52000;511.83;511.75;NORMAL;N
54000;513.16;513.08;NORMAL;N
56000;513.04;512.95;NORMAL;N
58000;512.44;512.35;NORMAL;N
60000;511.65;511.56;NORMAL;N
62000;512.64;512.54;NORMAL;N
64000;512.10;512.00;NORMAL;N
66000;513.10;513.00;NORMAL;N
68000;511.70;511.60;NORMAL;N
70000;511.57;511.46;NORMAL;N
72000;511.20;511.09;NORMAL;N
74000;512.20;512.09;NORMAL;N
76000;513.45;513.33;NORMAL;N
78000;512.30;512.17;NORMAL;N
80000;511.83;511.71;NORMAL;N
82000;511.19;511.06;NORMAL;N
84000;512.95;512.81;NORMAL;N
86000;511.12;510.99;NORMAL;N
88000;512.96;512.83;NORMAL;N
90000;511.30;511.16;NORMAL;N
92000;512.80;512.66;NORMAL;N
94000;512.85;512.70;NORMAL;N
96000;511.92;511.77;NORMAL;N
98000;512.75;512.60;NORMAL;N
100000;512.52;512.37;NORMAL;N
102000;511.37;511.22;NORMAL;N
104000;510.20;510.04;NORMAL;N
106000;512.13;511.96;NORMAL;N
108000;512.40;512.23;NORMAL;N
110000;511.14;510.97;NORMAL;N
112000;512.72;512.55;NORMAL;N
114000;511.67;511.49;NORMAL;N
116000;512.03;511.85;NORMAL;N
118000;511.91;511.72;NORMAL;N
120000;512.52;512.34;NORMAL;N
122000;512.04;511.85;NORMAL;N
124000;512.39;512.20;NORMAL;N
126000;512.20;512.00;NORMAL;N
128000;511.68;511.48;NORMAL;N
130000;512.76;512.55;NORMAL;N
132000;512.26;512.06;NORMAL;N
134000;512.53;512.32;NORMAL;N
136000;511.88;511.66;NORMAL;N
138000;511.42;511.21;NORMAL;N
140000;512.58;512.37;NORMAL;N
142000;512.19;511.97;NORMAL;N
144000;511.66;511.44;NORMAL;N
146000;513.40;513.17;NORMAL;N
148000;512.01;511.78;NORMAL;N
150000;511.14;510.90;NORMAL;N
