timestamp_us;raw_adc;filtered_val;rhythm;class_code
0;511.37;511.37;PAC;PAC
2000;512.31;512.30;PAC;PAC
4000;513.84;513.83;PAC;PAC
6000;512.10;512.09;PAC;PAC
8000;511.27;511.25;PAC;PAC
10000;511.49;511.46;PAC;PAC
12000;512.66;512.63;PAC;PAC
14000;513.59;513.55;PAC;PAC
16000;512.71;512.67;PAC;PAC
18000;512.91;512.87;PAC;PAC
20000;510.30;510.25;PAC;PAC
22000;514.01;513.96;PAC;PAC
24000;512.29;512.23;PAC;PAC
26000;511.17;511.11;PAC;PAC
28000;511.08;511.02;PAC;PAC
30000;511.86;511.79;PAC;PAC
32000;513.51;513.43;PAC;PAC
34000;512.25;512.17;PAC;PAC
36000;513.05;512.97;PAC;PAC
38000;512.08;511.99;PAC;PAC
40000;513.06;512.96;PAC;PAC
42000;511.31;511.21;PAC;PAC
44000;511.45;511.35;PAC;PAC
46000;512.87;512.76;PAC;PAC
48000;513.62;513.51;PAC;PAC
50000;513.49;513.37;PAC;PAC
52000;511.73;511.60;PAC;PAC
54000;512.83;512.71;PAC;PAC
56000;513.18;513.05;PAC;PAC
58000;512.68;512.55;PAC;PAC
60000;513.37;513.23;PAC;PAC
62000;512.86;512.71;PAC;PAC
64000;512.84;512.69;PAC;PAC
66000;514.32;514.17;PAC;PAC
68000;511.26;511.10;PAC;PAC
70000;510.89;510.72;PAC;PAC
72000;514.12;513.95;PAC;PAC
74000;512.83;512.66;PAC;PAC
76000;511.86;511.68;PAC;PAC
78000;512.72;512.53;PAC;PAC
80000;513.68;513.49;PAC;PAC
82000;511.76;511.57;PAC;PAC
84000;513.82;513.62;PAC;PAC
86000;510.78;510.58;PAC;PAC
88000;510.46;510.26;PAC;PAC
90000;512.79;512.57;PAC;PAC
92000;510.94;510.72;PAC;PAC
94000;512.12;511.90;PAC;PAC
96000;513.81;513.58;PAC;PAC
98000;512.41;512.18;PAC;PAC
100000;514.00;513.77;PAC;PAC
102000;511.44;511.20;PAC;PAC
104000;509.18;508.94;PAC;PAC
106000;513.05;512.80;PAC;PAC
108000;511.44;511.19;PAC;PAC
110000;511.80;511.54;PAC;PAC
112000;513.24;512.98;PAC;PAC
114000;514.13;513.86;PAC;PAC
116000;511.12;510.85;PAC;PAC
