timestamp_us;raw_adc;filtered_val;rhythm;class_code
0;514.24;514.24;PVC;PVC
2000;513.95;513.95;PVC;PVC
4000;511.64;511.64;PVC;PVC
6000;513.50;513.49;PVC;PVC
8000;511.58;511.56;PVC;PVC
10000;510.30;510.28;PVC;PVC
12000;512.67;512.64;PVC;PVC
14000;512.73;512.70;PVC;PVC
16000;512.67;512.63;PVC;PVC
18000;511.97;511.93;PVC;PVC
20000;512.09;512.05;PVC;PVC
22000;510.91;510.85;PVC;PVC
24000;512.37;512.31;PVC;PVC
26000;513.37;513.31;PVC;PVC
28000;512.92;512.85;PVC;PVC
30000;512.74;512.67;PVC;PVC
32000;512.84;512.77;PVC;PVC
34000;509.55;509.47;PVC;PVC
36000;512.28;512.19;PVC;PVC
38000;511.97;511.88;PVC;PVC
40000;513.54;513.45;PVC;PVC
42000;513.05;512.96;PVC;PVC
44000;512.90;512.80;PVC;PVC
46000;511.24;511.14;PVC;PVC
48000;511.95;511.84;PVC;PVC
50000;510.74;510.62;PVC;PVC
52000;511.80;511.68;PVC;PVC
54000;513.09;512.97;PVC;PVC
56000;513.16;513.03;PVC;PVC
58000;515.12;514.99;PVC;PVC
60000;511.98;511.84;PVC;PVC
62000;512.74;512.59;PVC;PVC
64000;511.68;511.53;PVC;PVC
66000;511.74;511.58;PVC;PVC
68000;511.76;511.60;PVC;PVC
70000;512.83;512.67;PVC;PVC
72000;513.18;513.01;PVC;PVC
74000;512.30;512.13;PVC;PVC
76000;512.85;512.67;PVC;PVC
78000;513.23;513.05;PVC;PVC
80000;512.62;512.43;PVC;PVC
82000;511.52;511.33;PVC;PVC
84000;511.06;510.86;PVC;PVC
86000;511.58;511.38;PVC;PVC
88000;513.37;513.16;PVC;PVC
90000;509.99;509.78;PVC;PVC
92000;511.17;510.96;PVC;PVC
94000;512.92;512.70;PVC;PVC
96000;513.40;513.17;PVC;PVC
98000;512.67;512.44;PVC;PVC
100000;511.64;511.41;PVC;PVC
102000;512.65;512.41;PVC;PVC
104000;510.52;510.28;PVC;PVC
106000;513.98;513.73;PVC;PVC
108000;511.61;511.35;PVC;PVC
110000;512.75;512.49;PVC;PVC
112000;511.84;511.57;PVC;PVC
114000;513.54;513.28;PVC;PVC
116000;512.02;511.75;PVC;PVC
118000;513.14;512.86;PVC;PVC
120000;511.96;511.68;PVC;PVC
122000;513.00;512.71;PVC;PVC
124000;513.18;512.89;PVC;PVC
126000;512.68;512.38;PVC;PVC
128000;512.86;512.56;PVC;PVC
130000;513.02;512.71;PVC;PVC
132000;511.36;511.05;PVC;PVC
134000;514.29;513.98;PVC;PVC
136000;513.39;513.07;PVC;PVC
138000;513.98;513.66;PVC;PVC
140000;513.80;513.48;PVC;PVC
142000;510.61;510.28;PVC;PVC
144000;515.06;514.72;PVC;PVC
146000;511.25;510.91;PVC;PVC
148000;513.47;513.12;PVC;PVC
150000;509.62;509.27;PVC;PVC
152000;512.71;512.35;PVC;PVC
154000;511.27;510.91;PVC;PVC
156000;510.37;510.00;PVC;PVC
158000;512.77;512.40;PVC;PVC
160000;512.87;512.49;PVC;PVC
162000;512.01;511.64;PVC;PVC
164000;511.48;511.10;PVC;PVC
166000;511.59;511.21;PVC;PVC
168000;514.16;513.77;PVC;PVC
170000;510.77;510.38;PVC;PVC
172000;510.78;510.38;PVC;PVC
174000;512.60;512.19;PVC;PVC
176000;514.30;513.89;PVC;PVC
178000;512.44;512.02;PVC;PVC
180000;510.12;509.71;PVC;PVC
182000;513.44;513.02;PVC;PVC
184000;512.24;511.81;PVC;PVC
186000;512.79;512.36;PVC;PVC
188000;511.34;510.90;PVC;PVC
190000;511.60;511.16;PVC;PVC
192000;512.05;511.60;PVC;PVC
194000;511.33;510.88;PVC;PVC
196000;512.63;512.17;PVC;PVC
198000;512.84;512.38;PVC;PVC
200000;514.12;513.65;PVC;PVC
202000;511.64;511.17;PVC;PVC
204000;515.22;514.75;PVC;PVC
206000;513.36;512.88;PVC;PVC
208000;512.52;512.04;PVC;PVC
210000;511.62;511.13;PVC;PVC
212000;512.43;511.94;PVC;PVC
214000;514.84;514.34;PVC;PVC
216000;513.10;512.61;PVC;PVC
218000;512.40;511.89;PVC;PVC
220000;513.34;512.83;PVC;PVC
222000;510.71;510.20;PVC;PVC
224000;512.91;512.40;PVC;PVC
226000;514.89;514.37;PVC;PVC
228000;512.50;511.97;PVC;PVC
230000;510.87;510.34;PVC;PVC
232000;510.93;510.39;PVC;PVC
234000;513.44;512.90;PVC;PVC
236000;512.70;512.15;PVC;PVC
238000;513.74;513.19;PVC;PVC
240000;514.17;513.62;PVC;PVC
242000;512.22;511.66;PVC;PVC
244000;511.41;510.85;PVC;PVC
246000;511.16;510.60;PVC;PVC
248000;512.70;512.13;PVC;PVC
250000;512.90;512.32;PVC;PVC
252000;512.71;512.13;PVC;PVC
254000;513.24;512.66;PVC;PVC
256000;513.92;513.33;PVC;PVC
258000;512.11;511.52;PVC;PVC
260000;513.47;512.87;PVC;PVC
262000;513.23;512.63;PVC;PVC
264000;513.47;512.86;PVC;PVC
266000;512.54;511.94;PVC;PVC
268000;513.02;512.41;PVC;PVC
270000;510.85;510.24;PVC;PVC
272000;515.44;514.82;PVC;PVC
274000;511.13;510.50;PVC;PVC
276000;514.06;513.43;PVC;PVC
278000;513.54;512.91;PVC;PVC
280000;512.57;511.94;PVC;PVC
282000;513.54;512.90;PVC;PVC
284000;511.88;511.23;PVC;PVC
286000;511.27;510.62;PVC;PVC
288000;511.91;511.25;PVC;PVC
290000;515.37;514.71;PVC;PVC
292000;511.38;510.72;PVC;PVC
294000;514.95;514.28;PVC;PVC
296000;514.65;513.98;PVC;PVC
298000;511.99;511.32;PVC;PVC
300000;513.12;512.44;PVC;PVC
302000;511.49;510.80;PVC;PVC
304000;510.93;510.24;PVC;PVC
306000;510.39;509.70;PVC;PVC
308000;511.91;511.21;PVC;PVC
310000;511.92;511.21;PVC;PVC
312000;513.51;512.81;PVC;PVC
314000;513.35;512.64;PVC;PVC
316000;512.63;511.91;PVC;PVC
318000;514.14;513.42;PVC;PVC
320000;512.19;511.46;PVC;PVC
322000;513.67;512.94;PVC;PVC
324000;511.59;510.86;PVC;PVC
326000;512.66;511.93;PVC;PVC
328000;511.88;511.14;PVC;PVC
330000;516.03;515.28;PVC;PVC
332000;512.82;512.07;PVC;PVC
334000;510.99;510.24;PVC;PVC
336000;513.07;512.32;PVC;PVC
338000;511.29;510.53;PVC;PVC
340000;513.92;513.16;PVC;PVC
342000;513.32;512.55;PVC;PVC
344000;512.88;512.11;PVC;PVC
346000;512.52;511.75;PVC;PVC
348000;512.99;512.21;PVC;PVC
350000;513.14;512.36;PVC;PVC
352000;514.04;513.25;PVC;PVC
354000;510.22;509.43;PVC;PVC
356000;512.58;511.78;PVC;PVC
