timestamp_us;raw_adc;filtered_val;rhythm;class_code
0;512.28;512.28;TACHYCARDIA;TACHY
2000;513.46;513.46;TACHYCARDIA;TACHY
4000;512.07;512.06;TACHYCARDIA;TACHY
6000;512.60;512.59;TACHYCARDIA;TACHY
8000;511.84;511.82;TACHYCARDIA;TACHY
10000;511.27;511.26;TACHYCARDIA;TACHY
12000;511.63;511.61;TACHYCARDIA;TACHY
14000;513.12;513.10;TACHYCARDIA;TACHY
16000;512.58;512.55;TACHYCARDIA;TACHY
18000;512.31;512.28;TACHYCARDIA;TACHY
20000;513.08;513.05;TACHYCARDIA;TACHY
22000;512.56;512.53;TACHYCARDIA;TACHY
24000;510.20;510.16;TACHYCARDIA;TACHY
26000;512.23;512.19;TACHYCARDIA;TACHY
28000;511.25;511.21;TACHYCARDIA;TACHY
30000;512.19;512.14;TACHYCARDIA;TACHY
32000;512.43;512.38;TACHYCARDIA;TACHY
34000;511.42;511.37;TACHYCARDIA;TACHY
36000;512.49;512.44;TACHYCARDIA;TACHY
38000;513.23;513.17;TACHYCARDIA;TACHY
40000;513.46;513.39;TACHYCARDIA;TACHY
42000;511.51;511.44;TACHYCARDIA;TACHY
44000;512.07;512.00;TACHYCARDIA;TACHY
46000;512.78;512.71;TACHYCARDIA;TACHY
48000;511.25;511.18;TACHYCARDIA;TACHY
50000;511.65;511.57;TACHYCARDIA;TACHY
52000;510.88;510.80;TACHYCARDIA;TACHY
54000;509.78;509.69;TACHYCARDIA;TACHY
56000;511.75;511.67;TACHYCARDIA;TACHY
58000;511.10;511.00;TACHYCARDIA;TACHY
60000;512.56;512.47;TACHYCARDIA;TACHY
62000;512.05;511.96;TACHYCARDIA;TACHY
64000;512.10;512.00;TACHYCARDIA;TACHY
66000;512.24;512.13;TACHYCARDIA;TACHY
68000;511.00;510.89;TACHYCARDIA;TACHY
70000;512.19;512.08;TACHYCARDIA;TACHY
72000;509.98;509.86;TACHYCARDIA;TACHY
74000;511.05;510.93;TACHYCARDIA;TACHY
76000;511.22;511.11;TACHYCARDIA;TACHY
78000;512.12;512.00;TACHYCARDIA;TACHY
80000;512.10;511.97;TACHYCARDIA;TACHY
82000;512.29;512.16;TACHYCARDIA;TACHY
84000;512.88;512.75;TACHYCARDIA;TACHY
86000;512.89;512.75;TACHYCARDIA;TACHY
88000;511.24;511.11;TACHYCARDIA;TACHY
90000;511.70;511.56;TACHYCARDIA;TACHY
92000;511.80;511.65;TACHYCARDIA;TACHY
94000;511.98;511.83;TACHYCARDIA;TACHY
96000;510.93;510.78;TACHYCARDIA;TACHY
98000;513.55;513.39;TACHYCARDIA;TACHY
100000;513.04;512.89;TACHYCARDIA;TACHY
102000;512.75;512.59;TACHYCARDIA;TACHY
104000;512.58;512.42;TACHYCARDIA;TACHY
106000;512.06;511.89;TACHYCARDIA;TACHY
108000;511.61;511.44;TACHYCARDIA;TACHY
110000;510.30;510.13;TACHYCARDIA;TACHY
112000;511.62;511.44;TACHYCARDIA;TACHY
114000;511.77;511.60;TACHYCARDIA;TACHY
116000;512.91;512.73;TACHYCARDIA;TACHY
118000;512.64;512.46;TACHYCARDIA;TACHY
120000;512.96;512.78;TACHYCARDIA;TACHY
122000;511.68;511.49;TACHYCARDIA;TACHY
124000;511.32;511.12;TACHYCARDIA;TACHY
126000;513.12;512.92;TACHYCARDIA;TACHY
128000;512.42;512.22;TACHYCARDIA;TACHY
130000;512.15;511.94;TACHYCARDIA;TACHY
132000;513.94;513.74;TACHYCARDIA;TACHY
134000;511.98;511.77;TACHYCARDIA;TACHY
136000;510.80;510.59;TACHYCARDIA;TACHY
138000;511.94;511.72;TACHYCARDIA;TACHY
140000;511.38;511.16;TACHYCARDIA;TACHY
142000;512.63;512.41;TACHYCARDIA;TACHY
144000;511.99;511.76;TACHYCARDIA;TACHY
146000;513.59;513.37;TACHYCARDIA;TACHY
148000;513.36;513.13;TACHYCARDIA;TACHY
150000;513.51;513.28;TACHYCARDIA;TACHY
152000;511.79;511.56;TACHYCARDIA;TACHY
154000;511.44;511.20;TACHYCARDIA;TACHY
156000;511.43;511.19;TACHYCARDIA;TACHY
158000;513.24;512.99;TACHYCARDIA;TACHY
160000;513.05;512.80;TACHYCARDIA;TACHY
162000;512.07;511.82;TACHYCARDIA;TACHY
164000;512.64;512.39;TACHYCARDIA;TACHY
166000;511.57;511.31;TACHYCARDIA;TACHY
168000;510.96;510.70;TACHYCARDIA;TACHY
170000;513.81;513.55;TACHYCARDIA;TACHY
172000;513.29;513.02;TACHYCARDIA;TACHY
174000;513.06;512.79;TACHYCARDIA;TACHY
176000;512.38;512.11;TACHYCARDIA;TACHY
178000;513.20;512.92;TACHYCARDIA;TACHY
180000;512.44;512.17;TACHYCARDIA;TACHY
182000;512.14;511.86;TACHYCARDIA;TACHY
184000;513.67;513.39;TACHYCARDIA;TACHY
186000;511.48;511.19;TACHYCARDIA;TACHY
188000;510.67;510.38;TACHYCARDIA;TACHY
190000;513.43;513.14;TACHYCARDIA;TACHY
192000;513.07;512.77;TACHYCARDIA;TACHY
194000;511.65;511.35;TACHYCARDIA;TACHY
196000;512.22;511.91;TACHYCARDIA;TACHY
198000;511.98;511.67;TACHYCARDIA;TACHY
200000;512.30;511.99;TACHYCARDIA;TACHY
202000;512.05;511.73;TACHYCARDIA;TACHY
204000;512.83;512.52;TACHYCARDIA;TACHY
206000;512.73;512.41;TACHYCARDIA;TACHY
208000;512.42;512.10;TACHYCARDIA;TACHY
210000;510.70;510.37;TACHYCARDIA;TACHY
212000;512.30;511.97;TACHYCARDIA;TACHY
214000;511.72;511.39;TACHYCARDIA;TACHY
216000;512.64;512.31;TACHYCARDIA;TACHY
218000;512.24;511.91;TACHYCARDIA;TACHY
220000;512.09;511.75;TACHYCARDIA;TACHY
222000;513.01;512.67;TACHYCARDIA;TACHY
224000;512.31;511.97;TACHYCARDIA;TACHY
226000;512.51;512.17;TACHYCARDIA;TACHY
228000;511.55;511.20;TACHYCARDIA;TACHY
230000;511.61;511.26;TACHYCARDIA;TACHY
232000;512.51;512.16;TACHYCARDIA;TACHY
234000;513.21;512.85;TACHYCARDIA;TACHY
236000;511.67;511.31;TACHYCARDIA;TACHY
238000;511.49;511.13;TACHYCARDIA;TACHY
240000;511.97;511.60;TACHYCARDIA;TACHY
242000;512.43;512.06;TACHYCARDIA;TACHY
244000;512.58;512.21;TACHYCARDIA;TACHY
246000;511.96;511.59;TACHYCARDIA;TACHY
248000;511.19;510.81;TACHYCARDIA;TACHY
250000;513.93;513.55;TACHYCARDIA;TACHY
252000;513.12;512.74;TACHYCARDIA;TACHY
254000;512.59;512.20;TACHYCARDIA;TACHY
256000;513.49;513.10;TACHYCARDIA;TACHY
258000;512.74;512.35;TACHYCARDIA;TACHY
260000;512.71;512.31;TACHYCARDIA;TACHY
262000;512.40;512.00;TACHYCARDIA;TACHY
264000;512.23;511.83;TACHYCARDIA;TACHY
266000;512.40;512.00;TACHYCARDIA;TACHY
268000;512.74;512.33;TACHYCARDIA;TACHY
270000;511.68;511.27;TACHYCARDIA;TACHY
272000;513.48;513.06;TACHYCARDIA;TACHY
274000;512.83;512.41;TACHYCARDIA;TACHY
276000;512.30;511.88;TACHYCARDIA;TACHY
278000;513.76;513.34;TACHYCARDIA;TACHY
280000;512.68;512.25;TACHYCARDIA;TACHY
282000;511.38;510.95;TACHYCARDIA;TACHY
284000;512.61;512.18;TACHYCARDIA;TACHY
286000;511.86;511.42;TACHYCARDIA;TACHY
288000;510.82;510.39;TACHYCARDIA;TACHY
290000;510.54;510.10;TACHYCARDIA;TACHY
292000;512.53;512.09;TACHYCARDIA;TACHY
294000;512.00;511.56;TACHYCARDIA;TACHY
296000;512.26;511.81;TACHYCARDIA;TACHY
298000;511.72;511.27;TACHYCARDIA;TACHY
300000;512.26;511.81;TACHYCARDIA;TACHY
302000;512.11;511.66;TACHYCARDIA;TACHY
304000;512.83;512.37;TACHYCARDIA;TACHY
306000;512.23;511.77;TACHYCARDIA;TACHY
308000;512.80;512.34;TACHYCARDIA;TACHY
310000;512.37;511.90;TACHYCARDIA;TACHY
312000;513.24;512.77;TACHYCARDIA;TACHY
314000;511.93;511.45;TACHYCARDIA;TACHY
